NO_OF_FRAMES	299
NO_OF_CAMERAS	24
NO_OF_MARKERS	50
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-21, 11:31:36.925	241491.89580800
DATA_INCLUDED	3D
MARKER_NAMES	clav	sternum	C_7	B_10	SIAS_left	SIAS_right	SIPS_left	SIPS_right	becken_top_left	becken_top_right	acrom_left	acrom_right	cluster_femur_left_1	cluster_femur_left_2	cluster_femur_left_4	cluster_femur_left_3	epi_med_left	epi_lat_left	cluster_tibia_left_1	cluster_tibia_left_2	cluster_tibia_left_4	cluster_tibia_left_3	calc_med_left	calc_back_left	calc_lat_left	forefoot_med_left	toe_left	forefoot_lat_left	cluster_femur_right_1	cluster_femur_right_2	cluster_femur_right_4	cluster_femur_right_3	epi_med_right	epi_lat_right	cluster_tibia_right_1	cluster_tibia_right_2	cluster_tibia_right_4	cluster_tibia_right_3	calc_med_right	calc_back_right	calc_lat_right	forfoot_med_right	toe_right	forfoot_lat_right	mal_med_right	mal_lat_right	mal_lat_left	mal_med_left	tib_plat_left	tib_plat_right
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Mixed	Mixed	Measured	Mixed	Mixed	Measured	Measured	Measured	Mixed	Measured	Mixed	Mixed	Mixed	Measured	Mixed	Mixed	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Mixed	Measured	Mixed	Measured	Measured	Measured	Mixed	Measured	Mixed
Frame	Time	clav X	clav Y	clav Z	sternum X	sternum Y	sternum Z	C_7 X	C_7 Y	C_7 Z	B_10 X	B_10 Y	B_10 Z	SIAS_left X	SIAS_left Y	SIAS_left Z	SIAS_right X	SIAS_right Y	SIAS_right Z	SIPS_left X	SIPS_left Y	SIPS_left Z	SIPS_right X	SIPS_right Y	SIPS_right Z	becken_top_left X	becken_top_left Y	becken_top_left Z	becken_top_right X	becken_top_right Y	becken_top_right Z	acrom_left X	acrom_left Y	acrom_left Z	acrom_right X	acrom_right Y	acrom_right Z	cluster_femur_left_1 X	cluster_femur_left_1 Y	cluster_femur_left_1 Z	cluster_femur_left_2 X	cluster_femur_left_2 Y	cluster_femur_left_2 Z	cluster_femur_left_4 X	cluster_femur_left_4 Y	cluster_femur_left_4 Z	cluster_femur_left_3 X	cluster_femur_left_3 Y	cluster_femur_left_3 Z	epi_med_left X	epi_med_left Y	epi_med_left Z	epi_lat_left X	epi_lat_left Y	epi_lat_left Z	cluster_tibia_left_1 X	cluster_tibia_left_1 Y	cluster_tibia_left_1 Z	cluster_tibia_left_2 X	cluster_tibia_left_2 Y	cluster_tibia_left_2 Z	cluster_tibia_left_4 X	cluster_tibia_left_4 Y	cluster_tibia_left_4 Z	cluster_tibia_left_3 X	cluster_tibia_left_3 Y	cluster_tibia_left_3 Z	calc_med_left X	calc_med_left Y	calc_med_left Z	calc_back_left X	calc_back_left Y	calc_back_left Z	calc_lat_left X	calc_lat_left Y	calc_lat_left Z	forefoot_med_left X	forefoot_med_left Y	forefoot_med_left Z	toe_left X	toe_left Y	toe_left Z	forefoot_lat_left X	forefoot_lat_left Y	forefoot_lat_left Z	cluster_femur_right_1 X	cluster_femur_right_1 Y	cluster_femur_right_1 Z	cluster_femur_right_2 X	cluster_femur_right_2 Y	cluster_femur_right_2 Z	cluster_femur_right_4 X	cluster_femur_right_4 Y	cluster_femur_right_4 Z	cluster_femur_right_3 X	cluster_femur_right_3 Y	cluster_femur_right_3 Z	epi_med_right X	epi_med_right Y	epi_med_right Z	epi_lat_right X	epi_lat_right Y	epi_lat_right Z	cluster_tibia_right_1 X	cluster_tibia_right_1 Y	cluster_tibia_right_1 Z	cluster_tibia_right_2 X	cluster_tibia_right_2 Y	cluster_tibia_right_2 Z	cluster_tibia_right_4 X	cluster_tibia_right_4 Y	cluster_tibia_right_4 Z	cluster_tibia_right_3 X	cluster_tibia_right_3 Y	cluster_tibia_right_3 Z	calc_med_right X	calc_med_right Y	calc_med_right Z	calc_back_right X	calc_back_right Y	calc_back_right Z	calc_lat_right X	calc_lat_right Y	calc_lat_right Z	forfoot_med_right X	forfoot_med_right Y	forfoot_med_right Z	toe_right X	toe_right Y	toe_right Z	forfoot_lat_right X	forfoot_lat_right Y	forfoot_lat_right Z	mal_med_right X	mal_med_right Y	mal_med_right Z	mal_lat_right X	mal_lat_right Y	mal_lat_right Z	mal_lat_left X	mal_lat_left Y	mal_lat_left Z	mal_med_left X	mal_med_left Y	mal_med_left Z	tib_plat_left X	tib_plat_left Y	tib_plat_left Z	tib_plat_right X	tib_plat_right Y	tib_plat_right Z	
58	0.28500	859.262	2434.823	1308.950	845.893	2396.582	1115.385	881.546	2535.175	1380.237	894.834	2599.020	1196.705	964.145	2456.173	910.508	782.676	2457.975	925.379	918.338	2610.282	962.055	826.233	2622.588	957.118	1009.211	2523.241	967.408	725.749	2544.495	974.681	1007.128	2451.838	1359.941	733.234	2523.528	1359.821	1033.573	2581.723	708.278	1036.459	2640.800	737.649	1013.432	2679.104	651.723	1016.358	2616.247	629.038	858.306	2728.591	493.975	976.556	2724.422	471.728	981.994	2858.741	440.768	978.647	2864.326	495.278	964.127	2944.928	482.185	966.710	2938.362	426.568	884.931	3135.723	473.615	918.602	3137.516	492.232	949.899	3142.452	462.822	855.760	3161.226	327.077	868.750	3162.974	272.146	953.028	3165.389	327.353	675.377	2481.898	743.136	672.641	2537.695	728.495	689.709	2518.307	644.781	683.996	2460.173	657.858	850.285	2424.922	460.695	731.978	2391.078	473.718	740.478	2322.763	349.948	733.196	2381.180	335.895	764.267	2361.675	252.746	752.292	2302.461	266.090	880.848	2241.131	60.575	846.311	2276.246	39.989	810.716	2256.289	44.503	871.644	2125.021	143.035	844.856	2089.881	172.027	780.323	2124.817	116.575	870.146	2248.840	136.440	798.290	2251.194	101.499	950.487	3097.065	433.154	876.669	3086.021	418.467	926.868	2753.038	396.374	783.109	2320.177	432.256
59	0.29000	858.394	2413.395	1305.822	845.774	2375.420	1111.968	880.403	2513.595	1377.516	893.977	2577.911	1194.263	964.768	2435.685	908.645	781.678	2437.297	923.576	918.354	2589.691	958.810	826.059	2602.442	953.883	1009.006	2502.575	964.223	725.406	2524.741	972.022	1006.426	2430.755	1357.209	731.980	2501.620	1356.291	1033.545	2558.629	704.813	1036.587	2617.691	733.174	1012.916	2654.941	647.015	1015.981	2591.903	625.036	857.109	2701.729	488.733	975.490	2697.517	466.008	981.106	2831.184	440.790	977.029	2834.641	495.480	963.048	2915.835	485.436	966.179	2911.409	429.581	884.031	3106.398	483.459	916.499	3108.893	502.848	945.804	3111.874	473.762	858.292	3136.147	337.407	869.848	3141.520	283.407	954.034	3141.807	339.782	673.777	2461.894	738.651	671.365	2518.045	724.513	687.663	2499.505	640.908	683.358	2440.725	653.567	850.338	2402.565	461.858	731.542	2369.354	472.265	740.177	2302.944	347.436	732.793	2361.651	334.343	763.525	2343.230	250.650	751.962	2283.748	263.247	879.611	2225.618	56.197	845.069	2260.873	36.143	809.469	2240.939	40.786	871.005	2109.158	137.960	841.963	2071.967	166.372	778.595	2108.249	111.582	869.453	2232.116	130.730	797.452	2235.128	97.773	950.057	3069.771	442.828	875.848	3059.564	427.211	926.607	2727.009	391.950	782.565	2299.269	430.479
60	0.29500	857.719	2392.038	1302.715	845.763	2354.391	1108.297	879.624	2492.265	1374.761	893.034	2556.733	1191.581	963.628	2414.054	905.864	780.332	2416.286	921.924	918.420	2569.245	955.248	825.960	2582.364	950.501	1009.001	2481.780	961.019	720.740	2504.699	970.327	1005.738	2409.791	1354.161	730.755	2479.511	1352.759	1032.917	2534.953	700.823	1036.641	2594.400	728.356	1012.352	2630.686	641.928	1015.246	2567.281	620.614	855.970	2674.453	483.174	974.972	2670.071	460.847	980.541	2803.218	440.189	975.557	2804.506	494.824	962.023	2886.072	487.842	965.811	2883.768	431.923	882.729	3077.334	493.335	915.379	3078.469	512.474	945.579	3082.893	484.330	859.213	3111.308	347.454	871.084	3118.697	293.742	955.058	3116.932	351.327	672.038	2442.818	735.126	670.028	2498.840	720.549	685.467	2481.008	637.544	683.643	2420.854	650.546	850.433	2378.902	462.458	731.267	2347.841	470.754	739.879	2283.482	344.468	732.658	2342.586	332.369	761.385	2326.141	249.209	752.966	2266.191	259.735	880.101	2210.326	51.590	843.356	2248.031	31.735	808.122	2227.371	35.744	870.617	2095.074	131.362	841.701	2057.298	159.409	777.869	2094.154	105.503	868.546	2217.664	125.647	795.996	2221.322	93.539	949.223	3041.273	451.538	875.966	3030.838	434.380	925.769	2700.356	386.817	781.727	2278.368	428.225
61	0.30000	856.993	2370.598	1299.246	845.639	2333.280	1104.354	878.589	2470.646	1371.714	892.054	2535.693	1188.699	963.433	2393.152	903.124	780.629	2396.709	919.222	918.600	2548.828	951.384	826.041	2562.413	946.803	1008.851	2460.943	957.453	725.087	2486.009	965.674	1005.066	2388.877	1350.847	729.715	2457.764	1349.006	1031.626	2510.875	696.396	1036.541	2571.082	723.210	1011.671	2606.225	636.527	1015.050	2542.779	615.931	855.026	2646.755	476.990	974.218	2641.929	455.117	980.255	2774.730	438.923	974.111	2773.883	493.351	961.086	2855.669	489.460	965.604	2855.549	433.610	881.652	3046.641	501.417	915.682	3045.473	520.904	945.251	3052.903	493.797	858.919	3086.361	357.266	872.313	3094.704	303.331	955.693	3090.675	361.778	670.575	2424.406	732.591	668.750	2480.209	716.907	686.059	2460.599	634.232	683.653	2400.823	648.734	850.783	2355.243	463.154	731.088	2325.894	469.320	739.504	2264.397	341.161	731.768	2323.725	330.562	761.012	2309.512	245.830	752.479	2249.235	256.067	876.801	2201.069	46.170	841.528	2237.319	27.013	806.175	2216.965	31.387	870.120	2082.473	123.328	841.390	2043.916	150.742	777.144	2081.661	98.076	869.264	2198.768	120.494	794.780	2208.888	88.318	950.173	3012.957	459.851	875.490	3002.373	441.193	925.624	2673.350	381.663	780.259	2258.090	425.190
62	0.30500	856.347	2349.261	1295.683	844.782	2311.768	1100.285	877.470	2449.012	1368.498	890.956	2514.609	1185.573	962.987	2372.187	900.097	778.704	2375.750	916.842	918.835	2528.539	947.331	826.298	2542.426	942.786	1008.658	2440.139	953.775	724.012	2466.258	962.050	1004.455	2368.000	1347.262	728.427	2435.853	1345.047	1030.559	2486.744	691.854	1036.293	2547.784	717.797	1010.955	2581.651	630.732	1014.919	2518.335	611.046	854.138	2618.785	470.358	975.354	2614.359	449.907	979.876	2745.544	437.037	972.780	2742.971	490.959	960.353	2824.735	490.301	965.359	2826.561	434.523	874.050	3014.021	512.222	913.862	3014.744	528.688	944.685	3021.996	502.203	858.847	3060.063	365.951	873.658	3069.337	311.947	956.557	3063.381	371.294	669.852	2406.396	730.859	667.826	2461.689	713.448	687.240	2439.815	631.875	683.690	2380.499	647.908	850.687	2331.316	463.666	730.680	2303.739	467.897	738.982	2245.710	337.411	730.617	2305.131	328.428	759.356	2293.425	243.369	751.838	2232.840	251.664	875.018	2192.232	40.110	839.738	2228.692	22.055	804.796	2207.270	25.560	869.750	2071.470	114.361	841.388	2032.075	140.765	776.712	2070.772	89.690	866.660	2191.639	115.111	793.069	2197.618	82.879	949.820	2982.952	466.805	875.134	2972.896	447.105	925.937	2646.048	376.437	779.515	2237.357	422.222
63	0.31000	855.381	2327.755	1291.805	845.232	2290.929	1096.044	876.421	2427.425	1365.100	889.773	2493.676	1182.157	962.185	2350.952	896.555	777.719	2355.530	914.065	919.166	2508.233	942.987	826.679	2522.404	938.585	1008.392	2419.383	949.922	725.393	2447.410	958.379	1003.823	2347.185	1343.426	727.175	2414.069	1340.867	1030.018	2463.067	687.054	1035.865	2524.488	712.096	1008.972	2556.056	624.418	1011.974	2491.363	605.496	853.348	2590.387	463.429	974.489	2585.149	443.514	979.666	2715.829	434.777	971.943	2711.404	488.540	959.588	2793.337	490.214	965.268	2797.023	434.954	880.346	2984.317	515.533	913.251	2981.573	535.431	944.438	2990.572	509.501	859.726	3032.057	373.220	875.124	3042.694	319.440	957.694	3035.178	379.760	669.259	2388.475	729.434	667.714	2443.051	710.292	688.856	2418.646	629.919	684.146	2359.615	646.987	849.705	2307.558	463.788	730.363	2281.666	466.637	738.346	2227.374	333.262	729.255	2286.815	326.066	757.987	2277.927	240.443	750.861	2217.281	247.181	873.203	2184.811	33.599	837.517	2221.923	17.220	802.679	2199.851	20.181	869.839	2062.416	104.901	841.500	2021.641	130.054	775.971	2061.083	80.236	865.157	2182.765	108.909	791.224	2188.298	77.030	949.470	2952.081	472.761	874.033	2943.578	452.593	926.237	2618.148	371.031	778.944	2217.202	418.424
64	0.31500	854.484	2306.315	1287.540	844.579	2269.596	1091.556	875.285	2405.787	1361.438	888.421	2472.750	1178.545	962.278	2330.491	893.197	776.818	2335.402	910.846	919.380	2487.904	938.417	827.103	2502.333	934.133	1008.140	2398.802	945.886	725.668	2428.293	953.336	1003.207	2326.500	1339.299	725.854	2392.242	1336.581	1029.489	2439.363	682.132	1035.336	2501.165	706.089	1009.551	2532.161	618.228	1011.832	2466.413	600.079	853.394	2561.138	455.883	974.730	2556.267	437.325	979.452	2685.745	431.728	971.368	2679.588	485.622	959.268	2761.407	489.849	964.988	2766.741	434.714	879.674	2952.222	520.803	912.255	2948.608	540.487	944.238	2958.348	515.620	860.159	3003.297	379.095	876.604	3014.820	325.742	958.282	3005.593	386.886	668.971	2370.118	728.121	668.390	2424.098	707.624	691.777	2395.969	628.538	684.362	2338.886	646.673	849.060	2283.310	462.537	730.129	2259.831	465.068	737.911	2209.529	328.648	727.869	2268.873	323.299	755.569	2263.317	237.407	748.455	2202.274	242.316	871.795	2179.743	30.784	836.017	2218.012	16.886	801.165	2195.765	17.764	869.601	2054.076	94.536	841.185	2012.407	117.926	774.948	2053.499	69.293	863.442	2173.807	102.770	789.556	2179.867	71.669	949.177	2920.487	477.721	873.249	2913.566	457.210	926.695	2589.697	365.517	778.662	2197.452	414.462
65	0.32000	853.853	2284.872	1283.373	843.878	2248.475	1087.155	874.037	2384.314	1357.613	886.949	2451.888	1174.697	962.411	2309.949	889.466	775.606	2315.047	906.796	919.936	2467.699	933.559	827.688	2482.304	929.381	1007.845	2378.221	941.781	726.039	2408.389	950.915	1002.592	2305.950	1334.996	724.428	2370.271	1332.197	1028.377	2415.839	676.781	1034.749	2477.972	699.752	1008.831	2507.215	611.365	1011.524	2441.144	594.337	852.937	2531.859	448.336	976.371	2527.670	431.194	979.521	2655.080	428.541	971.071	2647.405	482.239	959.161	2729.113	488.867	965.161	2736.179	433.995	879.051	2920.238	525.341	912.015	2915.359	545.370	944.250	2925.520	520.550	860.951	2973.589	384.173	877.875	2986.153	331.246	959.293	2975.289	392.891	668.986	2351.505	726.884	669.387	2404.553	704.783	693.220	2374.304	626.939	684.477	2318.164	646.802	849.383	2259.297	460.763	729.895	2238.355	463.306	737.498	2192.306	323.881	727.831	2250.176	319.758	752.802	2249.315	234.165	747.384	2188.173	237.081	871.456	2175.318	27.603	835.927	2213.394	15.675	800.935	2191.914	14.960	867.475	2046.168	82.901	839.474	2002.946	103.426	776.121	2047.661	54.603	862.268	2165.184	96.789	788.220	2172.558	66.252	948.976	2888.258	481.605	873.141	2882.090	460.448	927.049	2560.732	359.760	778.322	2178.109	409.396
66	0.32500	852.406	2263.595	1278.589	844.891	2227.923	1082.261	872.691	2362.901	1353.503	885.381	2431.089	1170.695	961.956	2288.997	885.439	774.652	2294.625	903.433	920.544	2447.599	928.519	828.562	2462.530	925.308	1007.247	2357.281	937.208	726.688	2388.551	946.754	1001.982	2285.524	1330.543	722.866	2348.027	1327.718	1025.240	2389.941	668.648	1034.042	2454.838	693.140	1008.165	2482.135	604.167	1011.446	2416.081	588.585	852.305	2502.307	440.601	976.016	2497.533	424.239	979.908	2624.011	425.293	971.079	2614.780	478.416	959.044	2696.243	487.193	965.128	2705.009	432.263	879.113	2887.126	528.698	911.790	2881.681	548.732	944.211	2892.122	524.313	862.096	2942.768	388.299	878.953	2956.624	335.808	959.868	2943.890	397.483	669.397	2332.371	725.620	670.488	2384.932	702.187	694.106	2352.442	625.216	685.856	2296.506	646.371	846.003	2239.077	458.774	728.959	2217.909	461.022	737.217	2175.542	318.980	726.237	2233.238	316.700	750.595	2236.041	231.139	746.903	2174.557	231.960	872.292	2171.864	25.315	836.117	2210.224	16.013	799.608	2190.192	14.499	868.040	2038.962	70.113	838.949	1993.803	87.235	776.097	2042.498	41.616	862.114	2157.472	91.386	788.328	2165.742	60.666	949.030	2855.596	484.410	873.082	2850.070	462.855	927.464	2531.287	353.964	777.846	2158.683	404.003
67	0.33000	851.736	2242.261	1273.918	844.360	2206.672	1077.346	871.259	2341.572	1349.235	883.752	2410.279	1166.503	961.888	2268.315	881.279	773.514	2274.019	899.477	920.803	2427.568	922.732	829.116	2442.636	920.555	1007.273	2336.838	932.768	725.749	2368.362	941.972	1001.359	2265.282	1326.073	721.597	2325.452	1323.025	1027.618	2368.274	665.722	1033.046	2431.534	686.390	1007.488	2456.840	596.656	1011.282	2390.988	583.079	851.890	2472.498	432.786	977.416	2468.231	417.455	980.130	2592.472	421.277	971.317	2581.982	474.160	959.204	2663.242	484.914	965.195	2673.219	430.261	878.916	2853.889	531.111	911.711	2847.488	551.014	944.709	2858.461	526.895	862.840	2911.544	391.408	880.003	2926.104	339.082	960.648	2911.823	400.912	669.921	2312.631	724.031	671.300	2364.855	699.522	694.804	2330.100	622.866	686.771	2274.896	645.574	845.538	2217.042	455.135	728.150	2197.615	457.838	737.356	2159.163	313.862	725.366	2216.626	313.440	749.292	2223.078	228.210	747.480	2161.427	226.973	873.427	2168.123	22.776	837.654	2206.694	16.562	802.157	2186.001	13.266	867.746	2031.287	57.463	839.245	1985.472	71.286	776.792	2037.693	29.565	862.781	2149.353	87.085	789.043	2159.716	56.252	949.206	2822.486	486.243	872.655	2817.643	464.399	928.007	2501.096	348.183	777.219	2139.261	398.223
68	0.33500	851.366	2221.368	1268.992	843.283	2185.366	1072.599	869.669	2320.359	1344.860	882.079	2389.418	1162.317	961.693	2247.566	876.833	772.542	2253.487	895.300	922.457	2408.191	917.679	829.578	2423.097	915.966	1007.651	2316.809	928.389	724.075	2348.364	937.308	1000.761	2245.265	1321.700	720.269	2302.837	1318.193	1027.132	2344.764	660.274	1030.961	2410.725	679.480	1006.830	2431.532	588.961	1009.625	2364.634	574.538	851.285	2442.212	424.860	975.010	2435.703	407.970	980.537	2560.585	416.773	971.710	2548.963	469.502	959.850	2629.965	482.313	965.424	2641.059	427.634	879.405	2819.976	532.271	911.961	2813.129	552.099	945.044	2824.280	528.315	863.149	2880.074	393.544	880.866	2894.830	341.113	961.378	2879.104	402.937	670.164	2292.539	722.040	671.755	2344.253	696.549	694.047	2308.098	620.489	687.112	2253.332	644.570	843.878	2197.011	451.815	726.975	2177.681	454.387	738.755	2144.075	308.150	725.454	2200.283	310.386	750.556	2210.522	225.632	749.950	2149.720	221.889	874.022	2164.393	18.271	838.405	2204.233	18.494	803.619	2182.707	14.106	869.990	2026.018	46.871	841.010	1978.254	57.176	778.268	2033.087	20.681	864.322	2140.852	83.647	789.666	2154.019	53.939	949.557	2789.007	486.999	873.369	2784.114	464.872	928.233	2470.392	342.422	776.423	2119.416	392.614
69	0.34000	850.744	2199.997	1264.295	843.619	2164.638	1067.450	868.001	2299.170	1340.496	880.431	2368.598	1158.335	961.333	2226.806	872.258	771.722	2232.964	890.743	923.119	2388.688	912.686	829.922	2403.978	911.591	1008.126	2296.782	923.576	725.785	2328.177	934.476	1000.241	2225.401	1317.529	718.614	2279.571	1313.581	1026.381	2321.174	654.659	1031.078	2385.107	670.147	1006.212	2406.186	581.157	1009.542	2338.890	568.425	850.572	2411.634	417.007	980.126	2406.484	403.373	981.139	2528.284	411.927	971.862	2516.930	464.927	960.364	2596.355	478.768	965.653	2608.485	424.426	879.876	2785.915	532.385	912.344	2778.884	552.024	944.192	2788.849	528.060	863.892	2847.441	394.349	881.585	2862.606	342.160	962.045	2845.887	403.703	669.902	2272.115	719.838	671.401	2323.285	693.487	692.198	2285.909	617.463	686.944	2231.366	642.301	843.617	2176.242	448.398	725.500	2157.549	450.934	737.185	2126.496	304.143	726.319	2184.383	308.160	752.487	2197.978	224.265	750.104	2136.039	217.979	875.031	2162.267	17.062	838.980	2201.771	20.359	804.317	2180.445	15.650	872.280	2021.696	37.950	844.797	1973.231	45.671	779.495	2028.855	16.829	866.494	2132.793	80.688	791.487	2148.426	53.697	948.045	2754.232	485.922	873.548	2750.587	464.586	927.881	2439.369	337.094	775.271	2099.644	388.309
70	0.34500	850.150	2178.551	1259.460	844.014	2143.891	1062.350	866.351	2278.184	1336.283	878.980	2347.873	1154.974	961.299	2206.062	867.685	771.004	2212.574	886.165	923.692	2369.434	907.761	830.237	2385.230	907.552	1008.456	2276.680	918.347	724.011	2308.108	930.604	999.964	2205.743	1313.745	716.640	2256.658	1309.299	1025.000	2297.195	648.715	1030.503	2361.930	664.402	1006.095	2380.813	574.432	1009.646	2313.349	562.403	849.781	2380.536	409.356	979.671	2375.125	396.440	981.526	2495.624	406.708	972.994	2482.436	459.161	961.102	2562.394	474.969	965.743	2575.451	420.557	880.550	2751.965	531.831	912.820	2744.451	551.150	945.665	2755.092	527.455	864.688	2814.176	394.077	882.124	2829.720	341.841	962.698	2812.183	403.178	669.586	2250.588	717.088	670.637	2301.459	690.389	690.204	2263.684	614.262	685.654	2209.456	639.795	840.573	2159.383	444.914	724.010	2137.355	447.786	736.425	2110.179	301.300	726.655	2167.956	307.949	753.898	2184.464	225.220	750.605	2123.161	215.746	875.932	2161.070	16.498	839.864	2200.480	22.058	805.193	2179.102	17.611	875.151	2019.595	32.687	848.359	1970.951	39.020	780.731	2027.150	16.082	869.189	2128.641	79.435	793.493	2145.133	54.794	949.132	2720.487	484.904	873.075	2717.034	463.344	928.116	2407.045	331.363	773.362	2080.469	383.982
71	0.35000	849.579	2157.011	1255.041	844.602	2123.301	1057.301	864.707	2257.201	1332.533	877.727	2327.364	1152.380	961.284	2185.418	862.912	770.429	2192.156	881.495	924.333	2350.391	903.077	830.547	2366.513	903.750	1008.879	2256.827	913.111	723.347	2288.118	927.649	999.770	2186.240	1310.273	714.727	2233.943	1305.207	1025.873	2273.805	644.210	1029.730	2338.305	657.300	1005.006	2354.128	564.934	1009.342	2286.745	556.471	848.714	2349.003	402.020	978.221	2341.913	387.804	981.932	2462.807	401.376	974.115	2448.378	453.460	961.936	2528.409	470.522	966.346	2542.318	416.649	886.847	2725.001	528.800	913.635	2710.470	549.526	946.578	2720.992	525.572	865.360	2780.393	392.349	882.573	2795.984	340.191	963.418	2778.124	401.353	669.047	2228.416	714.321	669.075	2279.323	687.706	688.029	2241.683	611.138	684.312	2187.539	636.939	839.704	2140.304	441.091	722.267	2117.280	445.136	736.073	2093.347	300.344	727.004	2151.991	307.874	755.105	2170.076	226.919	751.166	2109.611	215.280	876.690	2160.425	16.660	840.657	2199.505	23.812	805.923	2178.254	19.524	876.242	2018.120	29.772	849.104	1969.232	35.010	781.574	2026.410	15.591	870.453	2126.313	79.478	794.878	2143.121	56.502	949.529	2686.230	482.741	873.276	2683.068	461.450	928.101	2373.878	326.908	772.549	2061.499	381.570
72	0.35500	848.462	2134.982	1250.579	845.807	2102.940	1052.198	863.082	2236.154	1329.349	876.362	2306.834	1150.080	960.892	2165.097	858.051	769.376	2172.546	876.482	925.121	2331.483	898.738	831.010	2347.632	900.277	1009.114	2237.071	907.849	721.242	2269.379	925.351	999.776	2166.804	1307.180	712.605	2210.840	1301.181	1024.019	2249.230	639.827	1029.081	2314.153	650.994	1004.477	2326.773	558.071	1010.630	2259.841	553.473	847.579	2317.143	395.445	977.765	2309.656	381.572	981.716	2428.668	395.158	975.285	2414.804	448.099	962.903	2494.320	465.834	966.621	2508.678	412.016	882.543	2686.411	527.484	914.689	2676.633	546.718	947.795	2687.478	522.259	865.907	2746.396	389.730	884.173	2760.427	336.798	963.873	2743.464	398.056	668.509	2206.591	711.826	667.130	2257.728	685.818	686.110	2221.437	608.545	682.760	2166.992	633.628	837.651	2122.996	437.999	720.745	2097.094	442.642	736.621	2076.572	299.910	724.859	2133.558	309.724	755.619	2155.697	228.566	752.252	2096.137	215.292	876.910	2159.375	17.486	841.073	2198.345	25.624	806.234	2177.182	21.096	875.533	2016.085	27.634	848.563	1967.916	30.898	780.934	2025.109	13.909	868.568	2121.761	80.696	795.716	2140.866	58.341	949.945	2651.829	479.664	873.593	2648.819	458.864	927.599	2340.428	322.660	771.933	2043.359	379.869
73	0.36000	848.778	2114.103	1246.612	846.421	2082.511	1047.531	861.477	2214.874	1326.817	875.036	2286.483	1147.969	957.170	2145.082	853.170	768.382	2153.093	872.256	926.010	2312.502	894.644	831.664	2328.147	897.494	1009.176	2217.625	903.002	723.513	2249.094	923.094	999.818	2147.302	1304.299	711.062	2188.136	1297.526	1023.210	2224.784	637.089	1030.316	2288.570	643.840	1004.437	2298.844	552.386	1009.882	2232.037	550.143	846.189	2284.368	389.850	979.611	2276.932	377.419	980.524	2394.125	388.211	977.049	2380.184	442.807	964.084	2460.177	460.922	966.431	2474.546	407.091	883.982	2653.865	524.059	915.888	2643.498	543.063	949.502	2654.308	518.428	866.193	2712.369	386.010	884.336	2725.398	332.621	964.042	2708.365	393.442	667.194	2185.497	709.706	665.586	2237.201	685.056	683.992	2203.079	606.849	681.136	2147.883	630.428	837.842	2105.083	435.930	720.180	2076.410	440.481	740.447	2061.798	298.618	723.614	2116.897	310.157	754.491	2142.838	229.667	753.234	2083.402	215.309	877.126	2158.416	17.967	841.314	2197.431	27.081	806.560	2176.127	22.379	876.219	2014.691	25.950	848.791	1966.113	27.159	781.482	2024.368	12.937	871.276	2120.765	83.135	796.490	2138.357	60.147	950.238	2617.360	475.729	873.988	2614.464	455.212	926.783	2306.461	318.553	771.707	2025.909	378.459
74	0.36500	848.150	2092.393	1243.022	847.802	2062.380	1042.970	859.946	2193.329	1324.790	873.600	2266.152	1146.112	956.310	2125.431	848.837	766.752	2133.939	867.905	927.060	2293.483	891.207	832.566	2308.302	895.662	1008.904	2198.495	898.998	724.157	2229.599	921.414	999.815	2127.708	1301.562	709.523	2164.950	1293.888	1022.273	2199.936	635.258	1028.645	2265.771	641.688	1004.383	2270.954	547.743	1009.770	2204.060	547.969	844.756	2252.081	386.187	979.308	2243.228	373.041	978.949	2361.103	384.393	978.498	2346.334	437.448	964.796	2425.782	456.048	963.495	2439.689	402.166	883.728	2620.621	519.780	917.237	2610.758	538.513	950.743	2621.003	513.472	866.452	2678.055	381.034	884.642	2689.787	327.265	964.576	2673.265	387.579	666.230	2165.254	707.804	664.219	2217.734	684.750	681.633	2185.993	605.605	679.188	2130.033	627.674	838.496	2086.614	435.258	718.973	2056.213	439.041	741.054	2047.625	297.188	722.490	2101.786	310.376	752.667	2131.737	231.098	752.895	2072.239	214.183	877.240	2158.036	18.324	841.446	2196.871	28.047	806.434	2175.574	22.959	876.811	2014.189	25.286	849.614	1965.549	24.747	781.875	2023.878	12.858	871.791	2118.299	83.787	797.105	2136.775	61.240	950.280	2582.888	470.828	874.406	2580.123	450.985	925.896	2271.568	315.426	772.048	2009.114	376.953
